,1-B4-needle-fungal,1-B4-stem-fungal,1-RS3-root-fungal,1-RS3-soil-fungal,10-B4-needle-fungal,10-B4-stem-fungal,10-RS3-root-fungal,10-RS3-soil-fungal,118-B4-needle-fungal,118-B4-stem-fungal,118-RS3-root-fungal,118-RS3-soil-fungal,119-B4-needle-fungal,119-B4-stem-fungal,119-RS3-root-fungal,119-RS3-soil-fungal,120-B4-needle-fungal,120-B4-stem-fungal,120-RS3-root-fungal,120-RS3-soil-fungal,123-B4-needle-fungal,123-B4-stem-fungal,123-RS3-root-fungal,123-RS3-soil-fungal,124-B4-needle-fungal,124-B4-stem-fungal,124-RS3-root-fungal,124-RS3-soil-fungal,130-B4-needle-fungal,130-B4-stem-fungal,130-RS3-root-fungal,130-RS3-soil-fungal,134-B4-needle-fungal,134-B4-stem-fungal,134-RS3-root-fungal,134-RS3-soil-fungal,138-B4-needle-fungal,138-B4-stem-fungal,138-RS3-root-fungal,138-RS3-soil-fungal,146-B4-needle-fungal,146-B4-stem-fungal,146-RS3-root-fungal,146-RS3-soil-fungal,148-B4-needle-fungal,148-B4-stem-fungal,148-RS3-root-fungal,148-RS3-soil-fungal,29-B4-needle-fungal,29-B4-stem-fungal,29-RS3-root-fungal,29-RS3-soil-fungal,3-B4-needle-fungal,3-B4-stem-fungal,3-RS3-root-fungal,3-RS3-soil-fungal,33-B4-needle-fungal,33-B4-stem-fungal,33-RS3-root-fungal,33-RS3-soil-fungal,34-B4-needle-fungal,34-B4-stem-fungal,34-RS3-root-fungal,34-RS3-soil-fungal,35-B4-needle-fungal,35-B4-stem-fungal,35-RS3-root-fungal,35-RS3-soil-fungal,36-B4-needle-fungal,36-B4-stem-fungal,36-RS3-root-fungal,36-RS3-soil-fungal,40-B4-needle-fungal,40-B4-stem-fungal,40-RS3-root-fungal,40-RS3-soil-fungal,41-B4-needle-fungal,41-B4-stem-fungal,41-RS3-root-fungal,41-RS3-soil-fungal,42-B4-needle-fungal,42-B4-stem-fungal,42-RS3-root-fungal,42-RS3-soil-fungal,49-B4-needle-fungal,49-B4-stem-fungal,49-RS3-root-fungal,49-RS3-soil-fungal,51-B4-needle-fungal,51-B4-stem-fungal,51-RS3-root-fungal,51-RS3-soil-fungal,58-B4-needle-fungal,58-B4-stem-fungal,58-RS3-root-fungal,58-RS3-soil-fungal,6-B4-needle-fungal,6-B4-stem-fungal,6-RS3-root-fungal,6-RS3-soil-fungal,61-B4-needle-fungal,61-B4-stem-fungal,61-RS3-root-fungal,61-RS3-soil-fungal,65-B4-needle-fungal,65-B4-stem-fungal,65-RS3-root-fungal,65-RS3-soil-fungal,7-B4-needle-fungal,7-B4-stem-fungal,7-RS3-root-fungal,7-RS3-soil-fungal,71-B4-needle-fungal,71-B4-stem-fungal,71-RS3-root-fungal,71-RS3-soil-fungal,73-B4-needle-fungal,73-B4-stem-fungal,73-RS3-root-fungal,73-RS3-soil-fungal,74-B4-needle-fungal,74-B4-stem-fungal,74-RS3-root-fungal,74-RS3-soil-fungal,84-B4-needle-fungal,84-B4-stem-fungal,84star-RS3-root-fungal,84star-RS3-soil-fungal,87-B4-needle-fungal,87-B4-stem-fungal,87-RS3-root-fungal,87-RS3-soil-fungal,88-B4-needle-fungal,88-B4-stem-fungal,88-RS3-root-fungal,88-RS3-soil-fungal,89-B4-needle-fungal,89-B4-stem-fungal,9-B4-needle-fungal,9-B4-stem-fungal,9-RS3-root-fungal,9-RS3-soil-fungal,91-B4-needle-fungal,91-B4-stem-fungal,91-RS3-root-fungal,91-RS3-soil-fungal,96-B4-needle-fungal,96-B4-stem-fungal,96-RS3-root-fungal,96-RS3-soil-fungal,97-B4-needle-fungal,97-B4-stem-fungal,97-RS3-root-fungal,97-RS3-soil-fungal,98-B4-needle-fungal,98-B4-stem-fungal,98-RS3-root-fungal-S16,98-RS3-root-fungal-S20,98-RS3-soil-fungal-S58,98-RS3-soil-fungal-S62
49a702b57f99ba42a5c49033398639f4,4288,71902,0,32,54,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,51,40,0,54,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,326,0,0,399,476,4903,0,0,0,18,0,0,1590,0,0,0,314,0,0,0,0,0,0,0,0,1630,0,16,1171,4082,0,0,396,162,0,0,371,0,0,0,0,62,0,0,0,0,0,0,0,134,0,6,50,51,0,0,344,10023,0,0,0,57998,0,25,0,0,0,0,1101,10245,0,0,0,28411,0,0,14,10,11,0,304,9571,0,0,421,17344,0,0,0,12,0,0,0,0,232,3785,19,0,0,0,0,0,0,0,0,54,0,6,0,0,0,0
df3f87b47aa332d3feb2232d74d5d6e7,0,0,0,0,795,29005,0,0,18,15757,0,0,0,0,0,0,6,7056,0,0,1416,8326,0,0,8,0,0,0,43,28675,0,0,0,0,0,0,0,0,0,0,92,7739,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,10596,0,0,0,6229,4,0,0,0,0,0,14,115,0,0,0,4,7,0,0,5,9,0,78,3,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1038,25435,291,2255,0,0,0,0,0,0,0,0,0,0,7,27,7,0,5,13,0,0,0,0
bdffcd95c5aba86715144047d0364543,748,5,0,5,5050,8,0,0,1493,0,0,17,3908,0,0,12,2706,0,0,6,8482,0,0,0,9616,0,0,0,3983,2,0,12,8,0,0,7,1030,0,0,0,2094,7,0,46,2577,0,0,5,1400,0,0,31,1392,0,0,0,1619,5,0,0,573,48,0,11,3452,0,0,6,4826,0,0,0,1355,0,0,43,4036,0,0,0,1098,0,0,8,971,159,0,8,2726,4,0,0,2821,0,0,8,1309,6,0,0,4943,3,0,7,2836,0,0,10,840,0,0,5,2648,3,0,9,270,0,0,5,1749,0,0,14,2194,0,0,0,990,0,0,15,1124,25,0,7,12135,5,10529,0,0,4,1998,0,0,0,1319,0,0,57,11948,0,0,24,4922,14,0,0,7,14
508600e675717067732e51341d63bcc7,0,0,0,0,1422,2393,0,0,47,2987,0,13,498,12080,9,0,355,1104,0,0,565,2239,0,0,41,830,0,0,148,1521,0,2,0,56,0,0,6,49,20,0,360,11069,0,7,0,4,0,0,0,105,0,0,0,0,0,0,90,3686,0,0,0,454,0,0,0,2883,0,0,476,1179,0,0,39,448,0,3,22,0,0,0,0,16,0,0,0,153,0,0,523,10142,0,13,225,20360,0,0,297,7791,0,0,719,2022,0,0,0,18,0,0,0,0,0,0,554,3103,4,0,0,79,0,0,0,0,0,0,29,1532,0,0,0,234,0,12,16,0,0,0,572,1957,464,8108,8,0,0,628,0,0,0,0,0,0,760,11907,0,0,717,820,0,0,0,0
c5e120ae9bf3dd2eeb2e968afcbad613,56,0,0,8,5242,0,0,0,1994,17,0,5,4440,11,0,0,1629,0,0,0,3629,0,0,5,436,0,0,0,6635,15,0,0,15,0,0,14,1676,12,0,7,622,5,0,23,1115,0,0,0,1060,4,0,5,147,0,0,2,953,127,0,0,968,12,0,8,4063,9,0,6,6167,0,0,6,12985,0,0,10,1276,0,0,3,1016,0,0,0,3071,0,0,20,1605,7,0,6,8092,0,0,0,1642,9,0,10,3636,5,0,3,1335,0,0,0,661,0,0,4,2793,0,0,2,795,8,0,3,7527,0,0,0,1665,0,0,0,3719,0,0,38,888,5,0,8,7381,4,4271,0,0,17,1133,214,0,0,2593,10,0,50,2584,0,0,104,3660,4,0,0,0,8
3b4a5dec69ef8638e0535757359f887b,0,0,0,275,0,0,0,1635,0,0,0,0,0,0,33,13,0,0,0,0,0,0,0,4326,0,0,185,0,0,0,0,6004,0,0,0,656,0,0,0,9,0,0,0,697,0,0,0,1183,0,0,13,10,0,0,16,5017,0,0,0,0,0,0,0,465,0,0,0,2478,0,0,0,5,0,0,0,1065,0,0,298,9305,0,0,116,9691,0,0,466,0,0,0,0,0,0,0,7,15,0,0,0,6511,0,0,50,63,0,0,1135,0,0,0,20,20,0,0,3,4924,0,0,0,0,0,0,0,29142,0,0,13957,14,0,0,430,108,0,0,0,7805,0,0,0,0,0,0,0,0,3,4874,0,0,9,1303,0,0,0,0,0,0,2,6,118,13
e198ec51e67f31e2b02241ceebedffbd,0,0,0,379,0,0,8490,0,0,4,0,0,0,0,0,0,0,0,3240,0,0,0,10441,0,0,0,0,0,0,0,1212,13492,0,0,0,4,0,0,0,0,0,0,0,59,0,0,287,0,0,0,6,0,0,0,4,3235,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,47,0,0,0,7015,0,0,2338,0,0,0,1500,4,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,2926,0,0,12397,8,0,0,0,0,0,0,4,0,0,0,2,1865,0,0,0,4,0,0,0,0,0,0,14990,1140,0,0,24,17,0,0,0,0,0,0,0,0,3669,1658,0,0,0,1062,0,0,0,7884,0,0,0,0,0,0,4,0,0,0
44fb0122352e73572ff6069c26348ff4,20,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,178,14,0,0,2,18,0,0,4,17811,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,21,0,5,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,71773,0,0,0,0,0,0,0,0,0,0,0,0
b12fdef7bc55ff2c8177bf77d3ac4ba8,242,19,0,527,1492,0,0,331,794,4,0,158,1737,0,0,309,1490,0,3,1218,1076,0,33,339,1059,67,0,2422,6634,0,10,239,60,15,0,148,731,19,0,114,712,0,7,154,682,0,0,98,1003,377,7,643,2033,4,0,117,612,83,0,101,2533,564,0,200,958,49,0,1024,2468,0,0,129,562,0,3,323,3161,0,0,40,491,38,0,151,247,8,2,183,4292,0,0,113,293,4,0,180,1870,305,0,427,947,0,0,2132,9347,0,0,101,1175,0,0,2125,1046,0,0,177,416,0,0,924,790,0,0,333,983,20,0,49,1468,13,0,142,2332,40,0,2068,1760,11,1433,42,0,329,782,0,0,252,635,39,0,908,1895,0,5,243,1543,27,0,3,481,286
c0061ec3c96a6e98694c6e27791f8c21,467,42,0,17,2676,24,0,4,710,123,0,0,3677,0,0,6,1558,0,0,0,3400,0,0,12,475,0,0,0,60,0,0,0,60,0,0,23,535,32,0,23,227,19,0,0,2876,0,0,0,1682,187,0,134,2039,126,0,13,958,627,0,0,2141,1878,0,7,2203,0,0,13,1800,0,0,13,1067,11,0,8,4319,35,0,0,1133,327,0,11,1076,135,0,0,324,0,0,0,1086,0,0,0,810,54,0,10,2145,0,0,32,2465,320,0,12,2553,391,0,51,482,0,0,0,1014,85,0,0,3961,0,0,9,2896,4,0,0,2471,476,0,3,4028,315,0,0,528,0,3934,71,0,15,2715,377,0,8,1996,6,0,182,8322,0,0,21,1571,155,0,0,10,0
