,Kingdom,Phylum,Class,Order,Family,Genus,Species
49a702b57f99ba42a5c49033398639f4,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
df3f87b47aa332d3feb2232d74d5d6e7,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__unidentified,g__unidentified,s__unidentified
bdffcd95c5aba86715144047d0364543,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__unidentified,g__unidentified,s__unidentified
508600e675717067732e51341d63bcc7,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
c5e120ae9bf3dd2eeb2e968afcbad613,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,NA,NA
3b4a5dec69ef8638e0535757359f887b,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_mixtilis
e198ec51e67f31e2b02241ceebedffbd,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,NA,NA
44fb0122352e73572ff6069c26348ff4,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariales_fam_Incertae_sedis,NA,NA
b12fdef7bc55ff2c8177bf77d3ac4ba8,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,NA
c0061ec3c96a6e98694c6e27791f8c21,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Chaetothyriales_fam_Incertae_sedis,g__Strelitziana,NA
78875c93b54447499c7d46ff427ffc30,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
39df0d56d708761d72b1e695c4fa3a2a,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Sebacina,s__unidentified
4654a12d3dea9dae9804b2c3a6a47ab3,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA
9d37eff30ba3b877c18feae606f95172,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Teichosporaceae,g__Teichospora,NA
9868b2c0b849e2e9745e7c44e5bd97d2,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
9af62b5fca6ed99afb5ce9b7fc2d5139,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__unidentified,g__unidentified,s__unidentified
f2f3a37a2d034609d1f9831b2be28786,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA
3dc4ca231b1f2c9043a1a8cdac23fdef,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
f9a97ee8a2277187e5e93422e6d94594,k__Fungi,NA,NA,NA,NA,NA,NA
a41857aebee59613f53528f567b8fe53,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Didymella,NA
81f62f137c282a06cf284be8cfc31d44,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__unidentified,s__unidentified
4763d2a761c9e9674c2cf2ad9557d99a,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_Incertae_sedis,f__Dothideomycetes_fam_Incertae_sedis,g__Peltaster,NA
c411605390f594f7bcdf650f6799b001,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
7a75ffc092318097f4ab53ff1d31604d,k__Fungi,NA,NA,NA,NA,NA,NA
8fbea97a4b3f7dff8a9ffb79653b6aec,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__unidentified,g__unidentified,s__unidentified
30571afe824442e746d89aad4e5a45ea,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,NA
600b3d03c75ee653158d4e6c0aa7406d,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,NA,NA,NA
2c6bf1f4a82ab618a92366030252e5bf,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mytilinidales,f__Gloniaceae,g__Cenococcum,s__Cenococcum_geophilum
1e2e029a5af2a273349579a244d0021b,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,NA,NA,NA,NA
60bc03761c0ed450617b69300af853eb,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
